,year,country,iso,ifs,pop,rgdpmad,rgdppc,cons,gdp,inv_gdp,cpi,ca,imports,exports,nmon,bmon,srate,lrate,stock,pdebt_gdp,revenue,expenditure,xrusd,crisis,tloan,mort,hloan,bloan,hp,drate,tdbtserv,pdebt,inv,bmon_gdp,nmon_gdp,tloan_gdp,bloan_gdp,hloan_gdp,mort_gdp,ca_gdp,cpi_gdp,tdbtserv_gdp,lrate_rdiff2,srate_rdiff2,drate_rdiff2,bmon_gdp_rdiff2,nmon_gdp_rdiff2,tloan_gdp_rdiff2,bloan_gdp_rdiff2,hloan_gdp_rdiff2,mort_gdp_rdiff2,ca_gdp_rdiff2,cpi_gdp_rdiff2,tdbtserv_gdp_rdiff2,inv_gdp_rdiff2,pdebt_gdp_rdiff2,stock_pdiff2,cpi_pdiff2,hp_pdiff2,cons_pdiff2,gdp_pdiff2,bmon_pdiff2,nmon_pdiff2,tloan_pdiff2,bloan_pdiff2,hloan_pdiff2,mort_pdiff2,ca_pdiff2,tdbtserv_pdiff2,inv_pdiff2,pdebt_pdiff2
0,1870,Australia,AUS,193,1775.0,3273.2394366197186,13.836156557755722,21.44973424756727,208.78,0.1092656,2.708333,-6.147593999999998,36.0,37.0,23.3,54.3,4.88,4.911817,0.3046091132176467,0.17256799999999997,,,0.36694614706545575,0,54.792,1.68,1.68,53.112,0.49225261362399997,0.031817000000000206,2.6912827706400004,36.02874703999999,22.812471968,0.26008238337005457,0.1116007280390842,0.26243893093208165,0.25439218315930645,0.00804674777277517,0.00804674777277517,-0.029445320432991657,0.012972186033144938,0.012890520024140246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1871,Australia,AUS,193,1675.0,3298.507462686567,13.936864490155884,19.93080127997157,211.56,0.1045791,2.666667,5.260773999999998,34.0,46.0,27.2,59.5,4.6,4.844633,0.2801185405149479,0.191799,,,0.3691464495849117,0,53.748,1.766,1.766,51.982,0.4698774948229091,0.24463300000000032,2.6038933448399995,40.57699644,22.124754396,0.2812440915106825,0.1285687275477406,0.2540555870674986,0.24570807335980335,0.008347513707695216,0.008347513707695216,0.024866581584420486,0.012604778786159954,0.012308060809415766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1872,Australia,AUS,193,1722.0,3553.4262485482,15.044246890548015,21.085005662643074,227.4,0.130438,2.541667,7.867636000000001,38.0,53.0,36.2,68.5,4.6,4.73735,0.3237049854190738,0.15492,,,0.36923880927016545,0,55.821999999999996,1.47,1.47,54.352,0.48479424069030297,0.13735000000000053,2.644483517,35.228808,29.6616012,0.30123131046613894,0.15919085312225154,0.24547933157431837,0.2390149516270888,0.006464379947229551,0.006464379947229551,0.03459822339489886,0.01117707563764292,0.011629215114335971,-0.17446699999999993,-0.28000000000000025,0.10553300000000032,0.041148927096084364,0.04759012508316733,-0.016959599357763283,-0.01537723153221765,-0.0015823678255456192,-0.0015823678255456192,0.06404354382789051,-0.001795110395502019,-0.0012613049098042749,0.021172399999999994,-0.01764799999999997,0.06268975999999984,-0.06153822295855059,-0.015151515151515213,-0.017003874300473596,0.08918478781492482,0.2615101289134439,0.553648068669528,0.01879836472477723,0.0233468895918059,-0.12499999999999999,-0.12499999999999999,-2.279791085748344,-0.017389199734248476,0.30023617088089166,-0.02220279931222363
3,1873,Australia,AUS,193,1769.0,3823.6291690220464,16.219442672556337,23.254909902065506,266.54,0.1249862,2.541667,-11.0478328,49.0,50.0,38.6,73.7,4.3999999999999995,4.671958,0.374300074640075,0.14269199999999999,,,0.3624047757834013,0,65.38000000000001,1.364,1.364,64.016,0.4698774948229091,0.2719580000000006,3.0545261404000006,38.03312568,33.313821748,0.27650634051174305,0.14481878892473923,0.24529151346889774,0.2401740826892774,0.00511743077962032,0.00511743077962032,-0.041449061304119454,0.00953578074585428,0.011459916486831246,-0.1726749999999999,-0.20000000000000018,0.027325000000000266,-0.004737750998939472,0.016250061376998637,-0.008764073598600847,-0.005533990670525957,-0.003230082928074896,-0.003230082928074896,-0.06631564288853994,-0.0030689980403056736,-0.0008481443225845202,0.02040710000000001,-0.04910700000000001,0.33622027999999987,-0.046874994140625736,0.0,0.16678248783877694,0.2598789941387787,0.238655462184874,0.4191176470588236,0.21641735506437473,0.231503212650533,-0.22763306908267267,-0.22763306908267267,-3.100039423856643,0.17306115722942217,0.5057261722201494,-0.0626924361876205
4,1874,Australia,AUS,193,1822.0,3834.7969264544454,16.26822782171903,23.458049873415693,287.58,0.1419599,2.666667,-5.5639588,49.0,54.0,37.9,79.3,4.5,4.653317,0.3949240087527431,0.19432200000000002,,,0.37222345512135085,0,71.478,1.434,1.434,70.044,0.5668363429609697,0.15331700000000037,3.3260979252599996,55.883120760000004,40.824828042,0.27574935670074413,0.13178941511927117,0.24854996870436052,0.2435635301481327,0.004986438556227832,0.004986438556227832,-0.019347516517143056,0.009272783225537241,0.011565817947214688,-0.0840329999999998,-0.09999999999999964,0.015966999999999842,-0.025481953765394805,-0.027401438002980366,0.0030706371300421587,0.0045485785210439,-0.0014779413910017188,-0.0014779413910017188,-0.05394573991204192,-0.0019042924121056778,-6.339716712128358e-05,0.011521900000000002,0.03940200000000002,0.22001212999999983,0.04918032141897424,0.16923076923076946,0.1125465294504052,0.26464379947229544,0.1576642335766423,0.04696132596685071,0.28046289993192647,0.2887106270238446,-0.02448979591836737,-0.02448979591836737,-1.7071957574041299,0.2577495393252624,0.37635280599754,0.5862904234511711
5,1875,Australia,AUS,193,1874.0,4138.20704375667,17.59210697327091,25.669505470614297,300.74,0.160564,2.75,-7.908736800000002,50.0,52.0,37.5,88.5,4.6,4.507325,0.4136434067676232,0.233687,,,0.3609256158331147,0,79.954,1.564,1.564,78.39,0.5668363429609697,-0.09267499999999984,3.6037866304999993,70.27902838,48.288017360000005,0.2942741238278912,0.12469242535080136,0.2658575513732792,0.2606570459533151,0.005200505419964089,0.005200505419964089,-0.026297588614750286,0.009144111192392099,0.011983063877435656,-0.16463300000000025,0.20000000000000018,-0.36463300000000043,0.017767783316148145,-0.020126363573937878,0.020566037904381468,0.02048296326403773,8.307464034376915e-05,8.307464034376915e-05,0.015151472689369169,-0.00039166955346218134,0.0005231473906044098,0.03557780000000001,0.09099500000000002,0.10511174000000013,0.08196707121743332,0.20634920634920648,0.10383164582092513,0.12831094770015752,0.2008141112618724,-0.028497409326424906,0.22291220556745153,0.2245376155961009,0.14662756598240465,0.14662756598240465,-0.28413681278739106,0.17981855936190191,0.44948897563513496,0.847837302968679
6,1876,Australia,AUS,193,1929.0,4007.257646448937,17.019033291612903,24.80616059237601,311.26,0.1678778,2.791667,-6.952112800000002,48.0,51.0,38.2,95.8,4.6,4.565908,0.4160240882454224,0.158506,,,0.3720217079912038,0,86.206,1.86,1.86,84.346,0.5220861053587879,-0.034091999999999345,3.9360866504800005,49.33657756,52.253644028,0.307781276103579,0.12272698065925594,0.27695817001863393,0.27098245839491103,0.005975711623722933,0.005975711623722933,-0.02233538777870591,0.008968923086808456,0.012645655241534411,-0.08740900000000007,0.09999999999999964,-0.18740899999999971,0.032031919402834896,-0.009062434460015228,0.028408201314273407,0.02741892824677833,0.0009892730674951012,0.0009892730674951012,-0.0029878712615628543,-0.00030386013872878495,0.0010798372943197233,0.025917899999999994,-0.035816000000000014,0.053428201438849035,0.046874994140625736,-0.07894736842105274,0.057469002164928076,0.08234230474998264,0.2080706179066835,0.007915567282322013,0.20604941380564662,0.20418594026611855,0.2970711297071131,0.2970711297071131,0.24949034489615593,0.18339469821001086,0.27994768218600197,-0.11714705819875908
7,1877,Australia,AUS,193,1995.0,4036.0902255639094,17.14565200863059,25.217057352607068,313.66,0.2099336,2.875,-14.624798799999997,52.0,51.0,40.2,105.7,4.5,4.38885,0.4362598808067162,0.17609200000000003,,,0.39991067984815576,0,101.036,2.42,2.42,98.616,0.5220861053587879,-0.1111500000000003,4.434318486,55.233016720000016,65.847772976,0.3369890964738889,0.12816425428808265,0.3221194924440477,0.3144041318625263,0.007715360581521392,0.007715360581521392,-0.046626279410827,0.009165975897468596,0.014137341344130585,-0.11847500000000011,-0.09999999999999964,-0.018475000000000463,0.04271497264599772,0.0034718289372812905,0.056261941070768484,0.05374708590921118,0.002514855161557303,0.002514855161557303,-0.02032869079607671,2.18647050764971e-05,0.002154277466694929,0.049369599999999986,-0.05759499999999998,0.05467625899280561,0.045454545454545456,-0.07894736842105274,-0.017625899280575497,0.04296069694752948,0.19435028248587574,0.07200000000000008,0.2636766140530806,0.25801760428626097,0.547314578005115,0.547314578005115,0.8491952848905017,0.23046088480126528,0.3636462330827822,-0.21408963679244286
8,1878,Australia,AUS,193,2062.0,4277.400581959263,18.205261399884154,26.560551254036703,324.3,0.181141,2.833333,-16.3359228,52.0,50.0,38.7,106.2,4.8,4.4428,0.4219757919399206,0.172852,,,0.41257288115076557,0,106.64800000000001,2.754,2.754,103.894,0.5892114617620606,-0.35719999999999974,4.738157344,56.0559036,58.7440263,0.3274745605920444,0.11933395004625347,0.3288559975331483,0.3203638606228801,0.00849213691026827,0.00849213691026827,-0.05037287326549491,0.008736765340733888,0.014610414258402715,-0.12310800000000022,0.20000000000000018,-0.3231080000000004,0.019693284488465357,-0.0033930306130024734,0.05189782751451438,0.04938140222796905,0.002516425286545336,0.002516425286545336,-0.028037485486789,-0.00023215774607456864,0.0019647590168683036,0.013263200000000003,0.014345999999999998,0.014306151645207394,0.014925132546252903,0.12857142857142867,0.07072399032198043,0.04189423632975654,0.10855949895615873,0.013089005235602092,0.237129666148528,0.23175965665236054,0.48064516129032253,0.48064516129032253,1.349778156649011,0.20377363730602532,0.12420917990948437,0.13619359858977617
9,1879,Australia,AUS,193,2127.0,4204.983544898918,17.88724700430495,26.518999896260528,334.44,0.1615086,2.75,-12.3326728,48.0,44.0,37.2,108.3,4.9,4.60335,0.36186358462548907,0.208934,,,0.4150882566293221,0,102.726,2.9,2.9,99.826,0.6041282076294545,-0.2966500000000005,4.728837320999999,69.87588696,54.014936184,0.3238249013275924,0.11123071402942233,0.30715823466092573,0.2984870230833632,0.008671211577562492,0.008671211577562492,-0.03687559143643105,0.008222700633895467,0.014139568595263724,0.21450000000000014,0.40000000000000036,-0.18550000000000022,-0.01316419514629652,-0.016933540258660312,-0.014961257783121962,-0.01591710877916308,0.0009558509960411006,0.0009558509960411006,0.009750687974395947,-0.000943275263573129,2.2272511331390688e-06,-0.048424999999999996,0.03284199999999998,-0.170532060027285,-0.043478260869565216,0.15714285714285714,0.051629439765653665,0.06625007970413814,0.024597918637653683,-0.07462686567164178,0.016726711271230033,0.012269814228928306,0.19834710743801653,0.19834710743801653,-0.15672872026109502,0.06641806084291256,-0.17969987832865356,0.2651108179412146
